state_name,cause,intent,pop,state,total_deaths,crude_rate,age_adjusted_rate,year,rate_per_1000,deaths_year
Alabama,All Intents Firearm,All Intents,79976290,1,"14,084",17.61,17.42,2017,22.9,1124
Alabama,Violence-related Firearm,Violence-related,79976290,1,"13,420",16.78,16.59,2017,22.9,1124
Alaska,All Intents Firearm,All Intents,11848797,2,"2,277",19.22,19.16,2017,24.5,180
Alaska,Violence-related Firearm,Violence-related,11848797,2,"2,156",18.2,18.16,2017,24.5,180
Arizona,All Intents Firearm,All Intents,105943656,4,"16,093",15.19,15.05,2017,15.8,1134
Arizona,Violence-related Firearm,Violence-related,105943656,4,"15,670",14.79,14.65,2017,15.8,1134
Arkansas,All Intents Firearm,All Intents,48788500,5,"7,914",16.22,16.14,2017,20.3,613
Arkansas,Violence-related Firearm,Violence-related,48788500,5,"7,546",15.47,15.38,2017,20.3,613
California,All Intents Firearm,All Intents,629704470,6,"54,181",8.6,8.45,2017,7.9,3184
California,Violence-related Firearm,Violence-related,629704470,6,"53,102",8.43,8.28,2017,7.9,3184
Colorado,All Intents Firearm,All Intents,84552579,8,"10,088",11.93,11.73,2017,13.4,779
Colorado,Violence-related Firearm,Violence-related,84552579,8,"9,861",11.66,11.46,2017,13.4,779
Connecticut,All Intents Firearm,All Intents,60267221,9,"3,089",5.13,5.09,2017,5.1,188
Connecticut,Violence-related Firearm,Violence-related,60267221,9,"3,032",5.03,4.99,2017,5.1,188
Delaware,All Intents Firearm,All Intents,15043796,10,"1,491",9.91,9.8,2017,11.7,111
Delaware,Violence-related Firearm,Violence-related,15043796,10,"1,466",9.74,9.63,2017,11.7,111
Florida,All Intents Firearm,All Intents,317658078,12,"38,341",12.07,11.56,2017,12.4,2724
Florida,Violence-related Firearm,Violence-related,317658078,12,"37,771",11.89,11.38,2017,12.4,2724
Georgia,All Intents Firearm,All Intents,161253362,13,"21,404",13.27,13.22,2017,15.4,1623
Georgia,Violence-related Firearm,Violence-related,161253362,13,"20,842",12.93,12.88,2017,15.4,1623
Hawaii,All Intents Firearm,All Intents,22827034,15,729,3.19,3.05,2017,2.5,39
Hawaii,Violence-related Firearm,Violence-related,22827034,15,706,3.09,2.96,2017,2.5,39
Idaho,All Intents Firearm,All Intents,25938664,16,"3,418",13.18,13.37,2017,16.4,280
Idaho,Violence-related Firearm,Violence-related,25938664,16,"3,298",12.71,12.9,2017,16.4,280
Illinois,All Intents Firearm,All Intents,216498318,17,"19,815",9.15,9.04,2017,12.1,1543
Illinois,Violence-related Firearm,Violence-related,216498318,17,"19,350",8.94,8.82,2017,12.1,1543
Indiana,All Intents Firearm,All Intents,109195622,18,"13,043",11.94,11.87,2017,15.3,1016
Indiana,Violence-related Firearm,Violence-related,109195622,18,"12,631",11.57,11.5,2017,15.3,1016
Iowa,All Intents Firearm,All Intents,51533216,19,"3,735",7.25,7.09,2017,9,293
Iowa,Violence-related Firearm,Violence-related,51533216,19,"3,635",7.05,6.9,2017,9,293
Kansas,All Intents Firearm,All Intents,47932167,20,"5,406",11.28,11.21,2017,16,466
Kansas,Violence-related Firearm,Violence-related,47932167,20,"5,258",10.97,10.91,2017,16,466
Kentucky,All Intents Firearm,All Intents,72900296,21,"10,285",14.11,13.86,2017,16.2,730
Kentucky,Violence-related Firearm,Violence-related,72900296,21,"9,824",13.48,13.23,2017,16.2,730
Louisiana,All Intents Firearm,All Intents,77258370,22,"14,899",19.28,19.15,2017,21.7,1008
Louisiana,Violence-related Firearm,Violence-related,77258370,22,"14,252",18.45,18.32,2017,21.7,1008
Maine,All Intents Firearm,All Intents,22466633,23,"2,050",9.12,8.42,2017,11.7,172
Maine,Violence-related Firearm,Violence-related,22466633,23,"2,020",8.99,8.3,2017,11.7,172
Maryland,All Intents Firearm,All Intents,97635782,24,"10,740",11,10.99,2017,12.3,742
Maryland,Violence-related Firearm,Violence-related,97635782,24,"10,631",10.89,10.88,2017,12.3,742
Massachusetts,All Intents Firearm,All Intents,111647417,25,"3,822",3.42,3.31,2017,3.7,262
Massachusetts,Violence-related Firearm,Violence-related,111647417,25,"3,765",3.37,3.26,2017,3.7,262
Michigan,All Intents Firearm,All Intents,169315037,26,"19,020",11.23,11.24,2017,11.3,1138
Michigan,Violence-related Firearm,Violence-related,169315037,26,"18,708",11.05,11.06,2017,11.3,1138
Minnesota,All Intents Firearm,All Intents,89642796,27,"6,320",7.05,6.94,2017,8.2,465
Minnesota,Violence-related Firearm,Violence-related,89642796,27,"6,172",6.89,6.78,2017,8.2,465
Mississippi,All Intents Firearm,All Intents,49974477,28,"8,882",17.77,17.89,2017,21.5,632
Mississippi,Violence-related Firearm,Violence-related,49974477,28,"8,412",16.83,16.96,2017,21.5,632
Missouri,All Intents Firearm,All Intents,100577707,29,"14,629",14.54,14.43,2017,21.5,1307
